Unnamed: 0,1_흥안운수상계4동종점,2_흥안운수종점,3_불암현대아파트,4_동아불암아파트,5_불암대림아파트,6_상계벽산아파트,7_상계중앙시장입구,8_상계2동주민센터,9_노원역9번출구,10_노원구청,11_창4동주민센터,12_서울북부지방법원등기국,13_창동주공3단지,14_창1동주민센터,15_도봉문화정보도서관,16_창림초교창동신창아파트앞,17_국립현대미술관창동레지던시,18_신창.창동시장,19_창동서울탁주앞,20_금용아파트,21_창2동주민센터.보건지소,22_태영데시앙아파트,23_수유3동우체국,24_수유(강북구청)역,25_수유역,26_삼성화재강북지점,27_수유역.노스페이스문화센터,28_수유3동우체국,29_태영데시앙아파트,30_창2동주민센터.보건지소,31_창번2교앞,32_창동서울탁주앞,33_창동.신창시장,34_국립현대미술관창동레지던시,35_창림초교창동신창아파트앞,36_서울가든아파트앞,37_창1동주민센터,38_창동주공3단지,39_서울북부지방법원등기국,40_창4동주민센터,41_노원구청,42_노원역1번출구,43_상계2동주민센터,44_상계중앙시장입구,45_상계역,46_불암대림아파트,47_상계시장,48_동아불암아파트,49_흥안운수종점,50_흥안운수상계4동종점
2022-03-07 22:00:00,0,1,2,2,0,1,1,0,5,10,9,8,7,9,7,5,4,4,3,2,0,2,1,0,0,1,6,5,0,5,5,5,4,4,1,2,0,0,1,1,6,12,9,10,15,14,11,6,3,0
2022-03-07 23:00:00,0,1,2,0,0,4,6,1,16,7,8,15,7,0,5,4,3,0,3,0,2,3,2,1,0,1,8,9,9,8,7,6,5,4,0,0,0,3,0,0,2,10,5,0,8,5,3,2,1,0
2022-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 04:00:00,3,4,5,8,9,12,13,14,15,13,9,8,9,0,0,10,0,9,0,0,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 05:00:00,2,4,2,5,6,8,11,7,7,0,6,6,0,2,4,3,4,4,5,4,6,6,4,0,0,11,15,0,0,19,20,23,24,25,7,0,4,25,22,19,14,5,0,3,3,0,0,0,1,0
2022-03-08 06:00:00,2,0,0,5,0,2,1,0,1,0,0,0,0,1,0,2,4,4,6,5,7,6,6,0,0,0,1,0,1,3,2,3,1,5,7,3,2,2,3,0,4,4,3,2,4,1,0,0,0,0
2022-03-08 07:00:00,3,1,2,7,3,11,12,10,9,6,0,5,6,0,5,6,9,11,14,20,24,24,22,0,0,0,2,2,3,3,4,4,5,8,13,15,17,19,18,15,7,4,3,3,2,1,2,0,1,0
2022-03-08 08:00:00,4,5,8,16,17,15,15,15,13,5,0,2,16,18,16,14,17,16,20,21,25,24,19,3,2,3,5,7,3,9,5,9,12,13,18,20,19,20,22,22,11,6,7,5,7,5,4,1,0,0
2022-03-08 09:00:00,4,5,6,9,11,12,13,0,8,5,7,5,5,6,5,7,7,13,17,18,20,21,15,1,0,0,2,0,0,2,0,7,8,10,11,12,13,14,16,13,5,4,4,3,6,4,0,3,0,0
2022-03-08 10:00:00,4,8,9,11,12,11,10,8,5,4,5,6,5,3,6,0,5,7,9,0,8,8,5,1,0,0,4,1,0,2,1,4,6,7,10,0,11,0,13,12,10,5,2,6,3,3,1,0,0,0
2022-03-08 11:00:00,2,1,3,5,0,5,6,7,5,6,7,7,5,4,6,4,5,6,8,0,8,9,9,1,0,1,1,5,6,9,8,6,5,0,0,4,4,0,5,2,3,6,4,2,7,8,7,3,1,0
2022-03-08 12:00:00,0,1,2,0,4,3,6,5,2,3,2,3,0,4,3,1,5,5,8,0,9,5,11,1,0,1,5,0,0,4,6,5,4,4,2,0,3,4,4,5,4,7,8,7,8,5,2,2,1,0
2022-03-08 13:00:00,2,3,4,7,8,9,5,7,9,7,6,6,9,10,0,6,6,7,8,5,9,8,5,2,0,0,3,4,4,1,0,0,3,2,3,3,0,4,6,0,6,9,0,6,8,4,4,3,2,0
2022-03-08 14:00:00,4,7,8,11,11,12,12,9,8,6,6,8,0,8,7,11,9,9,10,9,6,6,2,0,0,0,6,6,7,7,0,7,8,10,7,12,6,11,6,5,7,14,8,10,11,10,9,4,2,0
2022-03-08 15:00:00,1,5,6,8,9,9,10,7,7,7,7,6,0,5,0,6,6,10,9,10,11,10,6,1,0,0,2,14,11,8,7,6,7,8,10,9,9,0,12,9,9,14,14,12,13,12,9,7,4,0
2022-03-08 16:00:00,4,6,7,9,0,7,10,7,15,12,7,12,10,8,8,0,7,9,8,8,7,0,5,1,0,1,7,12,13,11,9,8,6,7,4,0,3,6,7,7,4,7,5,6,8,8,8,6,2,0
2022-03-08 17:00:00,2,8,9,9,12,13,11,10,12,14,18,20,16,18,17,16,9,7,6,7,0,0,6,1,1,0,12,19,17,17,16,12,6,7,10,0,8,6,8,10,9,14,14,12,13,12,9,3,1,0
2022-03-08 18:00:00,4,6,0,12,11,7,10,8,7,14,17,17,16,17,14,14,11,11,13,15,12,11,7,1,0,1,18,5,13,11,11,10,11,11,16,0,17,18,8,17,16,25,23,21,25,22,14,8,3,0
2022-03-08 19:00:00,2,0,1,5,4,5,4,5,8,10,8,9,7,8,7,5,5,4,5,1,5,3,3,1,0,0,24,25,23,19,16,9,5,5,5,2,4,5,7,8,8,10,9,8,18,17,11,6,4,0
2022-03-08 20:00:00,0,3,0,5,1,4,3,2,6,5,9,6,5,5,4,9,3,7,6,5,5,1,1,0,0,0,7,11,10,11,8,5,4,6,6,4,3,7,6,0,5,13,13,10,13,11,6,4,2,0
2022-03-08 21:00:00,0,1,2,0,3,6,4,3,8,7,9,9,8,7,5,4,3,4,2,4,1,1,1,0,0,2,8,0,7,10,7,6,5,6,3,5,6,7,0,0,7,13,12,10,9,8,7,5,2,0
2022-03-08 22:00:00,0,1,0,2,0,2,2,1,7,14,16,14,12,11,10,0,9,7,6,7,5,3,1,0,0,2,10,12,0,11,9,9,8,7,5,4,0,1,8,0,5,8,8,7,9,5,8,5,3,0
2022-03-08 23:00:00,1,0,0,0,0,2,6,1,11,12,13,0,5,0,0,4,3,4,1,4,3,2,2,1,0,0,8,6,7,6,5,6,1,4,0,3,2,1,0,2,3,8,5,8,11,8,5,3,2,0
2022-03-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 04:00:00,0,0,0,1,1,4,5,0,1,0,0,6,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 05:00:00,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,1,2,3,4,5,1,4,0,0,5,6,0,0,9,10,15,17,19,20,0,0,1,19,18,10,6,0,4,3,3,0,2,1,0
2022-03-09 06:00:00,2,0,0,1,2,1,0,1,0,1,0,0,0,1,0,0,0,0,2,1,2,0,1,0,0,1,0,1,2,1,0,2,3,4,2,0,3,3,4,0,1,2,0,2,3,1,0,0,0,0
2022-03-09 07:00:00,1,0,1,4,3,3,1,2,2,0,1,0,0,0,1,1,3,0,1,4,5,6,5,0,0,0,2,0,2,1,1,2,2,0,0,0,0,0,0,1,4,3,4,5,0,3,0,2,0,0
2022-03-09 08:00:00,6,3,0,10,12,13,11,10,7,5,2,0,0,0,0,3,2,4,6,5,6,5,5,0,0,0,1,0,3,0,4,3,3,4,5,3,0,2,0,3,2,1,2,0,3,0,2,0,0,0
