Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_영신여자고등학교입구,5_노원문화예술회관.불암초등학교,6_기업은행중계동지점,7_은행사거리,8_중계주공10단지.중계건영3차아파트,9_노원구민체육센터,10_목련아파트상가,11_중계목화아파트4단지,12_용동초등학교,13_2001아울렛중계점,14_노원구민의전당,15_하계역,16_하계우성아파트,17_하계극동아파트,18_월계보건지소,19_월계사슴아파트2단지,20_월계역,21_녹천초등학교월계이마트,22_월계삼호4차아파트,23_월계삼호아파트,24_월계미륭아파트,25_월계미성아파트,26_한천초등학교,27_한진한화그랑빌아파트,28_한진한화그랑빌아파트,29_석계역2번출구,30_석계역1번출구.A,31_석계역굴다리앞,32_석계역,33_한천초등학교,34_월계미성아파트,35_월계미륭아파트,36_월계삼호아파트,37_월계삼호4차아파트,38_녹천초등학교월계이마트,39_월계역,40_월계사슴아파트3단지,41_월계보건지소,42_하계시영아파트,43_하계장미아파트,44_하계역,45_서울시립북서울미술관,46_2001아울렛중계점,47_용동초등학교,48_하계현대아파트,49_롯데마트,50_노원구민체육센터,51_롯데우성아파트,52_은행사거리,53_신한은행중계본동지점,54_노원문화예술회관.불암초등학교,55_불암고등학교,56_노원우체국,57_중계본동종점(가상)
2022-03-06 15:00:00,1,6,9,12,15,27,32,14,13,14,0,13,11,11,10,11,0,9,0,13,5,4,5,3,4,3,0,4,2,2,0,0,1,2,3,0,3,5,6,8,0,8,10,11,10,0,10,9,11,0,5,3,2,0,0,0,0
2022-03-06 16:00:00,0,3,5,6,7,12,17,0,18,33,35,34,32,21,17,17,19,16,11,9,11,4,0,8,1,7,8,6,5,2,0,0,4,0,2,0,0,3,0,0,7,7,6,9,14,20,22,11,15,19,18,10,8,3,0,2,0
2022-03-06 17:00:00,2,4,5,10,11,13,22,0,0,21,0,20,17,19,11,11,9,11,12,10,9,8,7,8,7,0,6,7,5,2,0,0,3,3,0,4,3,7,7,0,9,10,14,15,15,15,17,11,15,11,14,11,9,9,5,2,0
2022-03-06 18:00:00,2,3,4,6,9,14,15,13,14,15,14,13,15,11,10,11,0,8,7,8,4,5,6,5,6,0,3,0,5,4,0,5,0,2,3,0,0,5,4,0,0,7,8,9,7,10,12,0,6,5,11,10,9,4,3,0,0
2022-03-06 19:00:00,1,0,2,3,1,6,12,11,0,0,0,0,9,11,6,8,7,7,0,6,4,4,0,3,4,3,0,0,3,4,0,1,0,0,0,7,6,4,4,0,8,5,8,10,0,8,0,0,0,0,0,5,4,3,2,0,0
2022-03-06 20:00:00,0,1,0,3,0,6,11,0,0,0,10,9,11,11,9,7,5,0,0,5,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,2,2,3,8,0,7,6,5,6,0,5,4,2,0,1,0
2022-03-06 21:00:00,1,2,5,6,7,10,11,11,0,7,9,0,7,9,6,0,4,3,4,0,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,4,1,4,0,0,0,5,0,4,3,1,0,0,0
2022-03-06 22:00:00,0,0,1,2,0,5,15,0,0,0,13,12,12,8,7,6,0,4,0,0,0,3,0,0,0,2,0,1,0,2,0,0,1,0,3,0,0,4,2,0,5,0,1,8,9,0,0,7,0,6,0,4,2,0,0,0,0
2022-03-06 23:00:00,0,0,1,0,2,5,0,0,0,3,0,0,0,4,1,2,0,0,3,4,3,0,0,0,0,2,1,0,0,1,2,3,0,2,1,0,0,0,2,0,1,0,0,4,0,0,1,3,0,0,3,2,2,1,0,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,1,2,1,4,5,0,4,4,5,6,0,4,5,4,2,2,3,3,2,2,1,4,3,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 06:00:00,0,2,3,6,6,7,7,10,7,8,9,11,0,8,4,1,2,0,3,2,0,3,3,2,4,2,0,3,2,0,1,0,2,0,0,0,2,0,0,1,5,3,1,2,2,1,3,0,4,1,2,1,0,1,0,0,0
2022-03-07 07:00:00,2,5,8,20,25,27,30,33,22,32,32,33,32,26,16,8,12,11,8,7,6,11,17,0,20,21,20,19,9,8,2,9,22,25,32,6,11,6,12,8,16,17,19,21,29,30,28,19,30,23,30,27,24,5,0,0,0
2022-03-07 08:00:00,1,3,4,8,10,10,14,18,18,11,19,17,15,16,10,9,10,8,6,5,6,9,11,0,11,13,14,13,8,2,0,1,3,4,3,36,37,5,36,34,18,16,13,13,13,15,15,12,12,11,13,11,11,3,2,1,0
2022-03-07 09:00:00,1,3,7,8,10,7,11,12,0,7,8,11,9,8,5,6,3,5,6,4,2,3,3,0,0,0,0,0,2,1,2,2,3,2,4,5,6,0,5,6,8,4,8,6,5,4,7,6,8,4,7,4,3,2,0,1,0
2022-03-07 10:00:00,0,2,3,3,4,7,10,11,14,15,16,13,14,12,8,6,8,7,4,5,4,5,7,0,10,11,14,12,9,2,0,0,1,2,2,3,3,3,5,0,0,6,6,5,4,5,7,0,6,0,6,4,3,1,0,0,0
2022-03-07 11:00:00,0,1,0,3,2,0,7,12,12,11,10,6,7,11,9,11,4,4,5,4,5,5,0,4,4,0,0,2,0,1,0,1,2,0,0,4,5,0,2,0,0,3,7,7,6,7,5,7,1,7,6,5,0,2,0,0,0
2022-03-07 12:00:00,2,0,3,5,4,4,7,11,4,13,5,12,13,12,12,10,13,25,29,31,29,27,24,3,23,11,6,4,3,2,0,0,3,0,4,3,5,4,13,14,13,12,8,7,9,8,6,0,2,8,7,6,7,3,2,0,0
2022-03-07 13:00:00,1,4,8,3,9,7,10,7,0,12,9,11,9,9,8,8,6,7,7,6,4,2,3,3,2,4,5,6,3,3,0,0,4,2,3,5,5,6,5,5,5,3,8,6,10,11,5,12,10,9,12,4,6,3,4,3,0
2022-03-07 14:00:00,0,3,5,7,8,10,12,14,7,7,0,15,7,11,10,10,10,0,9,8,7,6,4,2,4,0,0,3,0,3,4,0,4,8,8,5,10,11,13,5,15,13,13,17,20,19,21,11,10,10,3,4,2,1,0,0,0
2022-03-07 15:00:00,0,6,4,8,9,11,14,15,0,14,16,15,16,11,10,6,10,10,0,9,6,3,0,0,0,2,3,4,2,3,4,5,5,0,6,7,9,2,10,0,17,19,22,20,20,16,15,20,19,14,17,11,10,6,4,1,0
2022-03-07 16:00:00,1,6,7,15,28,30,33,34,17,19,20,15,33,25,14,14,10,14,13,12,7,0,5,5,4,3,6,5,0,8,3,11,9,8,10,10,9,8,11,8,13,14,19,22,28,28,27,26,27,24,22,9,8,6,4,1,0
2022-03-07 17:00:00,1,3,2,5,4,9,12,15,5,17,18,16,14,13,9,8,7,6,0,5,7,0,2,3,6,3,1,0,1,5,6,3,4,5,4,7,10,11,13,4,17,17,24,31,43,41,43,28,27,40,35,11,10,5,3,0,0
2022-03-07 18:00:00,1,0,2,4,2,5,9,11,7,10,10,9,0,8,8,10,8,7,6,4,3,2,1,0,0,2,1,0,0,4,2,6,4,5,6,7,4,7,7,6,7,6,11,16,17,11,15,16,16,16,14,10,11,4,3,0,0
2022-03-07 19:00:00,0,1,1,0,2,5,12,0,8,9,11,11,7,5,12,10,7,6,5,5,4,4,4,0,3,2,0,2,1,2,3,4,0,5,3,0,5,6,8,0,9,7,9,17,18,17,18,16,15,15,13,8,8,3,0,0,0
