Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색역앞,5_디지털미디어시티역,6_북가좌동삼거리,7_DMC래미안e.편한세상요진아파트,8_모래내시장.가좌역,9_사천교,10_연희104고지앞.구성산회관,11_서대문우체국,12_연세대앞,13_세브란스병원앞,14_이대후문,15_영천시장,16_서대문역,17_경찰청.동북아역사재단,18_서울역버스환승센터,19_갈월동,20_숙대입구역,21_삼각지역,22_KT용산지사,23_신용산역,24_한강대교북단.LG유플러스,25_노들섬,26_상도터널노량진동,27_상도터널상도동,28_상도시장,29_상도동중앙하이츠빌.상도전통시장,30_숭실대입구역,31_봉현초등학교,32_성현동동아아파트,33_봉원중학교.행운동우성아파트,34_봉천사거리.위버폴리스,35_관악구청,36_관악경찰서.관악소방서,37_서울여상.서울문영여중고앞,38_서울대학교치과병원.동물병원,39_서울대학교,40_서울대학교치과병원.동물병원,41_서울여상.서울문영여중고앞,42_관악구청,43_봉천사거리.봉천중앙시장,44_봉원중학교.행운동우성아파트,45_관악푸르지오아파트,46_봉천고개.관악현대아파트,47_숭실대입구역,48_상도동중앙하이츠빌.상도전통시장,49_상도시장,50_상도터널상도동,51_상도터널노량진동,52_노들섬,53_한강대교북단.LG유플러스,54_신용산역,55_KT용산지사,56_삼각지역,57_숙대입구역,58_갈월동,59_경찰청.동북아역사재단,60_서대문.서울시교육청,61_독립문(가상),62_독립문공원.극동아파트,63_이대후문,64_세브란스병원앞,65_연세대앞,66_서대문우체국,67_연희104고지앞.구성산회관,68_사천교,69_모래내시장.가좌역,70_DMC래미안e.편한세상요진아파트,71_북가좌동삼거리,72_디지털미디어시티역,73_수색역앞,74_수색교,75_덕은교.은평차고지앞,76_은평공영차고지(가상)
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,2,1,0,2,2,3,5,4,3,1,3,3,3,4,5,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,0,0,0,1,2,3,0,0,2,2,5,2,2,7,6,5,3,4,1,3,4,0,3,2,3,5,3,6,5,7,4,4,4,4,5,4,3,0,1,0,0,2,1,4,3,2,3,5,4,6,5,0,4,5,0,4,5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,5,0,0,4,2,0,0,0,1,0,1,4,3,4,6,6,8,6,9,9,0,8,7,7,5,5,4,3,2,1,4,2,5,0,2,4,1,1,2,2,2,1,0,0,0
2022-03-06 09:00:00,0,2,4,4,5,6,5,6,6,5,8,9,10,11,11,11,12,9,6,6,5,0,3,5,0,6,11,13,14,4,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 10:00:00,2,4,6,5,5,6,6,9,10,7,12,11,13,13,17,18,17,10,8,7,9,9,9,11,6,13,18,19,19,18,19,19,17,15,10,4,0,7,2,1,1,5,5,7,10,10,13,13,13,15,8,10,16,15,14,12,12,14,13,9,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2022-03-06 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,23,21,19,18,13,10,12,9,0,0,0,0,0,2,5,8,9,8,13,13,14,11,18,20,18,18,15,14,13,15,18,11,9,6,13,12,8,7,6,4,3,1,0,2,2,0,0,0,0
2022-03-06 12:00:00,1,0,2,4,3,1,3,6,8,11,12,8,4,15,17,18,18,18,2,0,0,0,2,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,12,11,2,10,9,9,0,6,3,7,6,4,1,0,0,0,0
2022-03-06 13:00:00,1,2,3,2,4,5,5,8,9,11,11,16,16,20,20,20,20,19,18,23,21,19,21,22,21,26,19,15,12,15,13,12,11,7,7,4,2,3,3,3,4,9,12,13,17,21,22,25,26,36,31,27,27,25,11,21,16,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
